ID,Rotor speed,Gear Temp.,Generator rotation,Env. Temp.,Output,Voltage,Windspeed
1,18.4,63.3,768,9,307,400.09,7.47
2,18.3,68.7,1142,7,307,396.34,7.32
3,18.97,68.4,800,5,302,396.41,8.15
4,14.95,67.8,590,9,313,397.62,7.44
5,15.65,60.8,736,6,322,401.58,7.61
6,17.82,61.5,502,10,319,403.02,7.04
7,14.71,67.8,1116,1,304,402.09,6.69
8,15.2,65.6,783,10,312,398.74,7.48
9,18.44,60.5,508,9,323,400.65,8.11
10,18.33,68,973,5,316,398.28,7.24
11,16.89,63,1029,7,316,402.05,8.01
12,16.4,69.6,907,1,314,402.56,8.45
13,15.87,69.8,935,8,307,400.71,7.55
14,14.22,59.8,624,9,308,403.92,7.51
15,15.14,63.4,639,8,323,398.11,8.24
16,14.64,60.2,785,9,316,403.53,8.17
17,14.88,63.6,618,6,308,403.85,8.22
18,15.45,68.4,767,7,314,401.67,8.1
19,15.41,69.7,846,5,312,398.15,7.89
20,14.82,62.6,1005,5,317,402.47,7.54
21,14.05,66.4,952,9,313,396.22,8.22
22,16.52,63.7,648,4,307,400.4,9.02
23,17.31,62.3,1046,9,302,396.4,8.66
24,17.37,70,1055,8,321,400.03,8.19
25,17.7,63.5,547,8,307,397.25,7.4
26,13.92,59.7,743,9,319,402.89,7.01
27,17.04,64.2,745,5,313,400.66,6.17
28,18.24,60.7,670,8,317,399.37,6.58
29,13.9,62.6,834,9,308,398.52,5.78
30,13.43,62,581,4,312,398.64,5.9
31,13.73,67.8,1122,6,313,401.97,6.62
32,15.96,66.1,681,8,318,398.36,7.47
33,15.79,67.1,743,9,310,398.2,7.02
34,16.36,61.5,589,8,312,400.74,6.99
35,14.78,64.6,1064,6,311,399.33,7.2
36,12.85,62.3,725,9,311,402.24,6.39
37,12.49,64.2,542,10,309,401.53,6.83
38,16.65,61.8,650,9,304,401.63,6.42
39,17.79,67.9,1133,4,303,398.33,6.68
40,13.09,63.4,531,8,304,399.23,6.83
41,12.67,60.7,790,10,307,399.91,6.28
42,16.67,68.1,1054,9,313,397.98,5.83
43,14.47,63,907,8,314,400.78,5.56
44,11.98,67.6,869,9,305,398.4,4.66
45,14.61,61.6,705,8,309,396.89,3.82
46,11.6,65.8,872,10,309,403.62,4.27
47,16.37,67.8,600,8,311,402.15,4.37
48,14.89,64.4,575,8,309,397.43,3.53
49,13.37,59.4,622,9,309,401.83,3.37
50,13.11,68.2,772,7,307,402.05,3.83
51,14.88,59.6,685,5,305,402.14,3.96
52,15.19,64.6,748,10,310,403.86,4.41
53,17.25,65.4,793,8,308,399.59,4.67
54,16.38,61.8,765,5,300,403.53,3.77
55,14.87,65.7,603,7,305,397.44,2.98
56,12.17,61.9,543,6,300,400.56,1.98
57,15.49,63.9,711,8,305,401.34,2.84
58,15.58,67.1,605,8,302,402.98,2.94
59,13.24,62.4,572,10,307,400.34,2.75
60,11.01,64.6,631,6,300,396.19,1.76
61,12.07,66.6,624,9,302,397.87,1.71
62,15.26,65.7,645,8,303,399.15,1.48
63,10.87,68.1,584,10,303,400.39,1.03
64,10.26,60.3,633,1,300,402.59,1.37
65,10.11,63,573,8,302,397.33,1.26
66,13.67,59.7,590,9,304,396.2,1.59
67,14.77,63.9,643,9,304,403.36,1.75
68,14.28,66.6,536,8,303,397.02,1.35
69,14.25,61.1,607,6,302,398.23,2.21
70,13.21,63.4,571,4,304,400.97,1.57
71,14.38,64.4,632,8,304,400.59,1.81
72,15.13,68.2,599,4,305,403.52,2.67
73,13.86,62.2,585,9,305,398.4,2.07
74,14.93,67.3,701,7,303,398.66,2.75
75,14.48,65.1,623,8,304,397.58,1.88
76,13.51,60.3,586,4,303,403.52,1.25
77,11.68,64.2,507,7,302,397.28,1.51
78,15.51,59.6,524,9,301,403.46,1.7
79,12.13,60.9,516,9,303,401.09,1.28
80,11.23,64.7,621,6,302,396.92,2.22
81,14.83,59.5,531,7,309,402.93,3.04
82,12.16,62.9,596,5,301,403.83,3.19
83,11.57,61.3,603,10,302,397.76,2.4
84,11.81,62.8,601,10,301,396.33,2.42
85,11.89,66.3,739,9,307,401.03,3.38
86,15.29,62.6,635,10,308,398.42,2.96
87,16.8,68.5,831,9,310,398.94,3.63
88,14.89,68.5,941,4,313,403.79,4.54
89,16.46,61,626,10,304,397.41,3.73
90,14.57,68.2,761,1,303,403.18,3.37
91,11.76,65.6,678,6,309,398.29,3.21
92,13.13,66.4,683,10,304,401.81,3.34
93,12.9,68.3,742,10,304,398.37,2.95
94,13.09,60.4,719,10,306,402.12,3.94
95,13.81,68.4,852,7,303,397.88,4.54
96,15.14,64.5,673,9,309,403.16,3.81
97,16.6,68.8,873,10,302,397.21,4.24
98,12.91,60,649,8,310,402,3.61
99,12,59.9,721,6,307,402.18,3.77
100,14.36,68.5,631,6,313,396.91,4.45
101,15.06,66.9,856,9,305,401.18,3.71
102,15.45,64,556,9,307,397.15,3.05
103,15.04,61.1,634,10,300,401.92,2.47
104,11.09,60.2,737,9,301,398.43,2.78
105,10.91,64.9,527,2,307,396.59,2.45
106,10.81,63.4,621,3,301,398.92,1.67
107,11.44,66.3,709,10,306,396.17,2.65
108,13.71,68.4,655,5,301,398.17,3.33
109,15.59,59.9,531,5,305,396.36,4.18
110,12.67,68.2,627,5,308,403.1,4.17
111,15.57,59.4,619,10,303,401.73,3.31
112,15.92,60.8,706,6,301,396.68,2.56
113,16.36,62.5,655,2,309,403.44,3.23
114,15.51,65.6,600,9,305,398.54,3.19
115,15.59,60.2,529,10,305,400.82,2.46
116,14.09,66.2,539,10,301,400.43,2.75
117,15.74,60.9,651,10,307,400.84,2.99
118,14.43,66.7,734,2,302,396.03,3.15
119,15.24,66.2,566,9,309,399.94,4.09
120,11.86,65.5,608,3,307,400.96,4.29
121,16.48,68.3,667,7,306,402.19,3.65
122,15.85,66,526,10,311,403.9,4.51
123,12.37,62,509,8,305,399.14,5.16
